lemma,family_rank,family_freq,forms
sortir,150,201984,sortir sorti sortez sortira sortis sortent
monsieur,151,201794,monsieur messieurs
gens,152,198558,gens
heure,153,195795,heure heures
maison,154,193941,maison maisons
rester,155,191693,rester restez resté restera restent restée
ca,156,189898,ca
voilà,157,189677,voilà
passé,158,189189,passé passes passés passées
dernier,159,188263,dernière dernier derniers dernières
problème,160,184943,problème problèmes
aucun,161,182046,aucun aucune aucunes aucuns
celui,162,178273,celui ceux celle celles
soir,163,177936,soir soirs
celer,164,177397,cela
nom,165,176490,nom noms
toute,166,174066,toute
passer,167,173019,passer passez passera passait passent passons
mettre,168,171456,mettre met mettez mettent mette mettra
raison,169,168424,raison raisons
reste,170,166840,reste restes
donner,171,165958,donner données donnez donnes donnerai donna
beau,172,164783,belle beau beaux belles
nuit,173,164175,nuit nuits
travailler,174,163826,travailler travaille travaillé travaillait travailles travaillez
salut,175,160990,salut
commencer,176,159910,commence commencé commencer commençons commencez commencent
moment,177,159666,moment moments
argent,178,159413,argent
chercher,179,159274,chercher cherchez cherché cherches cherchais cherchait
truc,180,157507,truc trucs
bonjour,181,156488,bonjour bonjours
moins,182,153102,moins
plaire,183,152650,plaît plaire plais plairait plaira plaise
maman,184,152309,maman mamans
air,185,151080,air airs
papa,186,147481,papa papas
passe,187,144680,passe
famille,188,142073,famille familles
main,189,141915,main mains
peur,190,141683,peur peurs
question,191,140601,question questions
ah,192,140158,ah
idée,193,138238,idée idées
devenir,194,138016,devenir devenu devient devenue deviens deviennent
jusque,195,138006,jusqu' jusque
revenir,196,137039,reviens revenir revenez reviendra reviendrai revienne
mec,197,136720,mec mecs
voiture,198,136193,voiture voitures
gars,199,136154,gars
travail,200,135958,travail travaux
tête,201,135539,tête têtes
fils,202,134600,fils
prêt,203,132972,prêt prête prêts prêtes
trois,204,132625,trois
assez,205,132619,assez
entendre,206,131924,entendre entends entendez entend entendue entende
eh,207,131788,eh
chance,208,131330,chance chances
coup,209,130550,coup coups
porte,210,129857,porte portes
pris,211,129066,pris
jouer,212,128323,jouer joué jouez jouait jouent jouais
manger,213,127630,manger mange mangé mangez manges mangent
meilleur,214,127576,meilleur meilleure meilleurs meilleures
rentrer,215,125725,rentrer rentre rentrez rentres rentrons rentrés
rendre,216,125609,rendre rend rends rendez rendent rendra
vite,217,125063,vite
demander,218,124766,demander demandez demandais demandent demandait demanderai
mourir,219,123819,mourir meurt meurs meurent mourra meure
merde,220,123747,merde merdes
vieux,221,123140,vieux vieille vieil vieilles
part,222,122153,part parts
hé,223,121065,hé
pendant,224,121060,pendant
aujourd'hui,225,117159,aujourd'hui
demain,226,116541,demain
hein,227,116301,hein
tard,228,115148,tard
changer,229,114818,changer changé changera changent changez changerait
histoire,230,114605,histoire histoires
année,231,114583,années année
tant,232,113917,tant
combien,233,113220,combien
sens,234,112925,sens
souvenir,235,112610,souviens souvenir souvenirs souvenez souvient souvienne
chéri,236,111827,chérie chéri chéris chéries
frère,237,111528,frère frères
super,238,109895,super supers
contre,239,108451,contre
oublier,240,108044,oublié oublier oubliez oublierai oublies oublions
entendu,241,107777,entendu
apprendre,242,107569,appris apprendre apprend apprends apprendra apprenne
espérer,243,107191,espère espérais espérons espérer espérant espérait
ensemble,244,107139,ensemble ensembles
demande,245,106971,demande demandes
importer,246,106680,importe importait importent importé importer importée
semaine,247,106512,semaine semaines
amour,248,105825,amour amours
revoir,249,105772,revoir revu reverra revois reverrai revoit
partie,250,105324,partie parties
occuper,251,104673,occupe occuper occupée occupes occupés occuperai
sang,252,104071,sang sangs
oeil,253,103819,yeux oeil
sou,254,103660,sous sou
fou,255,103085,fou fous folles
vivre,256,101639,vivre vivent vivait vivez vivons vivais
perdre,257,101581,perdre perds perd perdue perdez perdent
cas,258,100615,cas
utiliser,259,100364,utiliser utilisé utilise utilisez utilisent utilisée
continuer,260,100269,continue continuer continuez continues continué continuent
fini,261,98823,fini
tien,262,98674,tiens tienne tien tiennes
gagner,263,98361,gagner gagné gagne gagnes gagnez gagnent
mauvais,264,97748,mauvais mauvaise mauvaises
genre,265,96588,genre genres
aide,266,96574,aide
typer,267,95910,type types
premier,268,95850,premier premiers premières
police,269,95703,police polices
seulement,270,95569,seulement
bébé,271,95419,bébé bébés
tenir,272,95368,tenir tient tenez tenait tenais tiendra
car,273,95104,car cars
point,274,94848,point points
ville,275,94715,ville villes
payer,276,94600,payer payé paierai payée payez payés
mois,277,94016,mois
certain,278,92997,certains certain certaines certaine
sentir,279,92739,sentir sent senti sentez sentais sentait
jeune,280,92324,jeune jeunes
tomber,281,92235,tomber tombé tombent tombés tombera tombez
place,282,92075,place places
côté,283,91879,côté côtés
endroit,284,91474,endroit endroits
laisse,285,91272,laisse
chaque,286,91035,chaque
sembler,287,90593,semble semblait semblez semblent semblerait sembles
putain,288,90313,putain putains
retrouver,289,90126,retrouver retrouvé retrouve retrouvée retrouvera retrouvés
arrivé,290,89653,arrivé
parlé,291,89625,parlé parlés
parti,292,89462,parti partis
rencontrer,293,89333,rencontrer rencontré rencontrés rencontrée rencontrent rencontrez
avez-vous,294,88861,avez-vous
écouter,295,88789,écoutez écouter écoutes écouté écoutais écoutent
longtemps,296,88619,longtemps
façon,297,87391,façon façons
dormir,298,87282,dormir dors dormi dort dormais dormez
plein,299,87051,plein pleine pleins pleines
compte,300,86784,compte comptes
envoyer,301,86734,envoyer envoie envoyez envoyée enverrai envoyés
sauver,302,86703,sauver sauvé sauve sauvée sauvés sauvez
perdu,303,86263,perdu perdus
droit,304,86132,droit droits droites
arme,305,85989,arme armes
compris,306,85819,compris comprises
ni,307,84992,ni
train,308,84291,train trains
leurs,309,84050,leurs
attention,310,84022,attention attentions
acheter,311,83724,acheter acheté achète achetée achetez achèterai
mot,312,83104,mot mots
affaire,313,83076,affaire
corps,314,82565,corps
donné,315,82427,donné
est-il,316,82359,est-il
voici,317,82156,voici
dont,318,81842,dont
écoute,319,81813,écoute
garçon,320,81796,garçon garçons
important,321,81562,important importante importantes importants
madame,322,81518,madame mesdames
terrer,323,80944,terre terres terra terrer
matin,324,80883,matin matins
chambre,325,80832,chambre chambres
première,326,80647,première
tellement,327,80089,tellement
finir,328,80017,finir finit finie finis finira finisse
heureux,329,79834,heureux heureuse heureuses
adorer,330,79133,adore adorer adoré adorerais adorent adorait
rappeler,331,79112,rappelle rappeler rappelles rappelez rappelé rappellerai
eau,332,78461,eau eaux
gros,333,77632,gros grosses
toucher,334,77466,touche touché toucher touchez touches touchés
pardon,335,77301,pardon pardons
boire,336,77206,boire bu boit buvez buvons buvait
suite,337,77136,suite suites
cause,338,76874,cause causes
là-bas,339,76653,là-bas
vers,340,76542,vers
marier,341,76504,marier marié marie mariés maria marient
devant,342,76363,devant devants
minuter,343,76229,minutes
demandé,344,76129,demandé
fin,345,76121,fin fins fines
dr,346,75475,dr
servir,347,75416,servir sert servi sers servent servira
enfin,348,75391,enfin
mari,349,75099,mari maris
téléphoner,350,74552,téléphone téléphoner téléphones téléphoné téléphonez téléphonerai
mis,351,74511,mis
photo,352,74383,photo photos
bureau,353,74091,bureau bureaux
montrer,354,74059,montrer montré montrent montrez montrerai montrera
loin,355,73779,loin
boulot,356,73474,boulot boulots
garder,357,73289,garder gardez gardent gardait garderai gardée
as-tu,358,73213,as-tu
possible,359,72979,possible possibles
donne,360,72911,donne
mme,361,72376,mme
aura,362,72059,aura
recevoir,363,71704,reçu recevoir reçois reçoit recevez reçus
docteur,364,71620,docteur docteurs doctoresse
répondre,365,71462,répondre réponds répondu répond répondez répondent
plutôt,366,71199,plutôt
chef,367,70640,chef chefs
école,368,69995,école écoles
jeu,369,69944,jeu jeux
hier,370,69937,hier
parfait,371,69896,parfait parfaite parfaits parfaites
feu,372,69301,feu feux
quitter,373,69059,quitter quitté quittez quittes quittée quitterai
garde,374,68617,garde gardes
prochain,375,68608,prochaine prochain prochaines prochains
lire,376,68543,lire lu lisez lires lisais lise
mentir,377,68530,menti mentir mens ment mentez mentent
fort,378,67699,fort forts fortes
emmener,379,67669,emmener emmène emmené emmenée emmenez emmènes
euh,380,67392,euh
dehors,381,67348,dehors
dur,382,67333,dur durs dures
a-t-il,383,67118,a-t-il
vérité,384,67057,vérité vérités
confiance,385,67045,confiance
journée,386,66491,journée journées
génial,387,66325,génial géniale géniaux géniales
film,388,65948,film films
équipe,389,65935,équipe équipes
propos,390,65929,propos
voler,391,65369,volé voler volés volent volait voles
imaginer,392,64839,imagine imaginer imaginez imagines imaginé imaginais
joli,393,64770,jolie joli jolies jolis
préférer,394,64661,préfère préféré préférée préférerais préfères préférez
propre,395,64552,propre propres
suivre,396,64314,suivre suit suivez suivent suivie suivait
plan,397,64288,plan plans
parent,398,64168,parents parent parente
hey,399,63364,hey
choisir,400,63107,choisi choisir choisis choisit choisie choisissez
guerre,401,62821,guerre guerres
près,402,62659,près
affairer,403,62509,affaires
fête,404,62447,fête fêtes
agir,405,62126,agit agir agi agissait agis agissez
agent,406,62115,agent agents agente
dessus,407,62027,dessus
mariage,408,61832,mariage mariages
vue,409,61369,vue vues
prie,410,61306,prie
vas-y,411,61165,vas-y
vendre,412,61006,vendre vendu vend vends vendent vendez
content,413,60698,content contente contents contentes
gentil,414,60598,gentil gentille gentils gentilles
retourner,415,60398,retourner retournez retourné retournes retournons retournée
inquiet,416,60342,inquiète inquiet inquiètes inquiets
forcer,417,60326,force forces forcer forcée forcés forcez
livre,418,60266,livre livres
valoir,419,60265,vaut valait vaudrait vaux valent valoir
appelé,420,60257,appelé
marche,421,60060,marche
sécurité,422,60001,sécurité sécurités
numéro,423,59561,numéro numéros
exactement,424,59442,exactement
presque,425,59321,presque presqu'
service,426,59301,service services
derrière,427,59294,derrière derrières
ben,428,59042,ben
capitaine,429,59039,capitaine capitaines
supposer,430,58825,suppose supposé supposée supposer supposons supposés
tirer,431,58780,tirer tirez tires tirent tirés tirera
chien,432,58513,chien chiens
amie,433,58365,amie amies
envie,434,57929,envie envies
ordre,435,57654,ordre ordres
attaquer,436,57594,attaque attaquer attaqué attaques attaqués attaquée
protéger,437,57287,protéger protège protégé protégée protégez protégés
lieu,438,57007,lieu lieux
porter,439,56959,porter portait portez portent portais portera
rêve,440,56906,rêve rêves
accepter,441,56694,accepter accepté accepte acceptez acceptes acceptera
pied,442,56684,pieds pied
cacher,443,55997,cacher caché cachée caches cachés cachez
suffire,444,55920,suffit suffira suffisait suffire suffi suffirait
lequel,445,55811,laquelle lequel lesquelles lesquels
pays,446,55567,pays
expliquer,447,55258,expliquer explique expliqué expliquerai expliquerait expliquez
ressembler,448,54948,ressemble ressemblait ressembler ressemblent ressembles ressemblez
cours,449,54886,cours
ignorer,450,54841,ignore ignorais ignorer ignorez ignores ignorait
instant,451,54833,instant instants
peiner,452,54819,peine peines peiné peinée peiner
tour,453,54545,tour tours
bientôt,454,54494,bientôt
ii,455,54338,ii
cinq,456,54092,cinq
prison,457,54052,prison prisons
ramener,458,53971,ramener ramène ramené ramenez ramènes ramenée
moyen,459,53913,moyen moyens
retour,460,53813,retour retours
excusez-moi,461,53742,excusez-moi
raconter,462,53687,raconter raconte raconté racontes racontez raconterai
sérieux,463,53668,sérieux sérieuse sérieuses
ainsi,464,53523,ainsi
autant,465,53097,autant
minute,466,53057,minute
carte,467,52971,carte cartes
secret,468,52927,secret secrets secrètes
différent,469,52654,différent différents différentes différente
facile,470,52545,facile faciles
difficile,471,52410,difficile difficiles
détester,472,52289,déteste détestes détester détestent détestais détestait
terminer,473,52178,terminé terminée terminer termine terminées terminés
meurtre,474,52066,meurtre meurtres
apporter,475,52036,apporté apporter apporte apportez apportera apporterai
préparer,476,52008,préparer prépare préparé préparez préparent préparée
sorte,477,51937,sorte sortes
quatre,478,51716,quatre
router,479,51675,route routes
faute,480,51448,faute fautes
pire,481,51042,pire pires
choix,482,51014,choix
pièce,483,50970,pièce pièces
êtes-vous,484,50919,êtes-vous
plaisir,485,50860,plaisir plaisirs
lit,486,50808,lit lits
bas,487,50778,bas basses
parfois,488,50714,parfois
contrôler,489,50700,contrôle contrôler contrôles contrôlé contrôlent contrôlez
esprit,490,50654,esprit esprits
abord,491,50638,abord abords
flic,492,50597,flics flic
sujet,493,50414,sujet sujets sujette
bizarre,494,50412,bizarre bizarres
dollar,495,50389,dollars dollar
verre,496,50125,verre verres
vérifier,497,50052,vérifier vérifié vérifie vérifiez vérifions vérifiais
état,498,50016,état états
drôle,499,49566,drôle drôles
humain,500,49562,humain humains humaine humaines
descendre,501,49506,descendre descends descend descendez descendu descendue
faux,502,49399,faux fausse fausses
marcher,503,49186,marcher marchera marchait marchent marchez marcherait
poser,504,48976,poser posé posez posent posait posera
es-tu,505,48889,es-tu
monter,506,48866,monter monté montez montes montent montés
foutre,507,48797,foutre fout foutez foutent foutais foutait
réussir,508,48787,réussi réussir réussit réussis réussie réussira
ensuite,509,48619,ensuite
battre,510,48447,battre bats battent battait battez battrai
idiot,511,48320,idiot idiote idiots idiotes
doute,512,47950,doute doutes
malade,513,47906,malade malades
allons-y,514,47877,allons-y
joue,515,47839,joue joues
victime,516,47830,victime victimes
erreur,517,47816,erreur erreurs
rapport,518,47790,rapport rapports
dîner,519,47575,dîner dîne dîné dîners dînons dînez
pauvre,520,47466,pauvre pauvres
appel,521,47395,appel appels
ferme,522,47215,ferme fermes
coeur,523,47112,coeur coeurs
noir,524,47038,noir noirs noires
message,525,47006,message messages
preuve,526,46925,preuve preuves
impossible,527,46855,impossible impossibles
avocat,528,46585,avocat avocats avocate
calme,529,46565,calme calmes
pos,530,46544,pos
écrire,531,46372,écrire écris écrite écrivez écrivait écrirai
tel,532,46309,tel telle telles tels
ceci,533,46192,ceci
haut,534,46121,haut hauts hautes
million,535,46108,millions million
simple,536,45697,simple simples
café,537,45583,café cafés
client,538,45465,client clients cliente clientes
hôpital,539,45254,hôpital hôpitaux
tôt,540,44694,tôt
courant,541,44673,courant courants courantes
dès,542,44598,dès
réfléchir,543,44489,réfléchir réfléchi réfléchis réfléchissez réfléchit réfléchissais
visage,544,44352,visage visages
sauf,545,44212,sauf saufs
cherche,546,43990,cherche
président,547,43978,président présidente présidents
salle,548,43977,salle salles
refuser,549,43953,refuse refusé refuser refusez refuses refusent
the,550,43705,the
cœur,551,43691,cœur
musique,552,43689,musique musiques
sûrement,553,43604,sûrement
rue,554,43524,rue rues
chemin,555,43484,chemin chemins
détruire,556,43344,détruire détruit détruite détruits détruis détruira
cher,557,43275,cher chers chères
manque,558,43140,manque manques
balle,559,42962,balle balles
puis-je,560,42958,puis-je
jeter,561,42910,jeter jette jetez jettes jetés jettent
roi,562,42846,roi rois
avis,563,42822,avis
soirée,564,42776,soirée soirées
seconde,565,42558,seconde
seigneur,566,42455,seigneur seigneurs
effet,567,42348,effet effets
long,568,42305,long longues longs
cool,569,42254,cool
mlle,570,42249,mlle
obtenir,571,42180,obtenir obtenu obtient obtiens obtenez obtienne
marché,572,42176,marché
sac,573,42061,sac sacs
laisse-moi,574,42013,laisse-moi
cul,575,41960,cul culs
rire,576,41781,rire rires ri riez rient riait
assurer,577,41670,assurer assure assuré assurée assurerai assures
mien,578,41641,mien mienne miens miennes
disparu,579,41575,disparu disparue disparus disparues
groupe,580,41517,groupe groupes
intéresser,581,41447,intéresse intéressé intéresser intéressée intéressent intéressait
six,582,41391,six
jack,583,41265,jack jacks
john,584,41222,john
vivant,585,41114,vivant vivante vivants vivantes
écrit,586,40947,écrit écrits
sors,587,40866,sors
intérieur,588,40763,intérieur intérieure intérieurs intérieures
clé,589,40501,clé clés clefs
grave,590,40461,grave graves
partout,591,40420,partout
bras,592,40381,bras
face,593,40259,face faces
gamin,594,40049,gamin gamins gamine gamines
risque,595,40041,risque risques
inviter,596,39998,invité invités inviter invites invitez invitent
h,597,39905,h
lettre,598,39873,lettre lettres
retard,599,39856,retard retards
chanter,600,39800,chanter chante chanté chantait chantent chantez
crime,601,39778,crime crimes
bienvenu,602,39579,bienvenue bienvenu bienvenus bienvenues
surtout,603,39488,surtout
amener,604,39363,amené amener amenez amènes amenés amènent
voulez-vous,605,39216,voulez-vous
ouvert,606,39133,ouvert ouverte ouverts ouvertes
pleurer,607,38968,pleurer pleure pleuré pleures pleurait pleurez
plait,608,38693,plait
pareil,609,38689,pareil pareille pareils pareilles
médecin,610,38632,médecin médecins
sort,611,38597,sort sorts
bois,612,38577,bois
sinon,613,38576,sinon
réveiller,614,38569,réveiller réveillé réveille réveillée réveillera réveilles
new,615,38345,new
ecoute,616,38316,ecoute
honneur,617,38264,honneur honneurs
sale,618,38258,sale sales
mr,619,38242,mr
rendez-vous,620,38209,rendez-vous
maître,621,37992,maître maîtres
ancien,622,37971,ancien ancienne anciens anciennes
venue,623,37909,venue venues
s,624,37881,s
apprécier,625,37829,apprécie apprécier apprécié apprécierais appréciez apprécies
réponse,626,37823,réponse réponses
début,627,37759,début débuts
cadeau,628,37697,cadeau cadeaux
visiter,629,37649,visite visiter visites visité visitez visitent
souvent,630,37426,souvent
loi,631,37365,loi lois
mets,632,37355,mets
blanc,633,37280,blanc blancs blanches
bouger,634,37000,bouger bougez bougé bouges bougent bougeait
coucher,635,36977,coucher couches couchée couchait couchez couchais
soeur,636,36929,soeur soeurs
voyage,637,36916,voyage voyages
empêcher,638,36693,empêcher empêche empêché empêchera empêchent empêchait
rouge,639,36689,rouge rouges
accident,640,36635,accident accidents
général,641,36618,général généraux générales
conduire,642,36442,conduire conduis conduisait conduisez conduira conduisais
craindre,643,36429,crains craint craindre crainte craignais craignez
patron,644,36365,patron patrons
remercier,645,36350,remercier remercie remercions remerciez remercié remercieras
envoyé,646,36334,envoyé
scène,647,36209,scène scènes
sam,648,36188,sam
promis,649,36145,promis promise promises
exister,650,36144,existe existent existait exister existé existaient
cheveu,651,36114,cheveux cheveu
offrir,652,36113,offrir offert offerte offrent offrez offrons
laissez-moi,653,36081,laissez-moi
récupérer,654,35999,récupérer récupéré récupère récupérez récupérée récupères
bonsoir,655,35996,bonsoir
bout,656,35977,bout bouts
grâce,657,35904,grâce grâces
permettre,658,35896,permettre permet permettez permets permettra permettent
relation,659,35819,relation relations
incroyable,660,35796,incroyable incroyables
dis-moi,661,35752,dis-moi
dossier,662,35653,dossier dossiers
excuse,663,35607,excuse excuses
stupide,664,35591,stupide stupides
noël,665,35489,noël noëls
âge,666,35455,âge âges
pote,667,35433,pote potes
voix,668,35335,voix
situation,669,35296,situation situations
tourner,670,35286,tourner tourné tournez tournent tournait tournes
remettre,671,35234,remettre remets remet remettra remettez remette
déranger,672,35102,dérange déranger dérangerait dérangez dérangée dérangés
prix,673,35016,prix
système,674,35003,système systèmes
bateau,675,34870,bateau bateaux
lumière,676,34850,lumière lumières
amoureux,677,34770,amoureux amoureuse amoureuses
abandonner,678,34388,abandonner abandonne abandonnée abandonnez abandonnes abandonnés
cru,679,34355,cru crus
patient,680,34241,patient patients patiente patientes
dix,681,34151,dix
probablement,682,34122,probablement
conseil,683,34091,conseil conseils
cheval,684,34074,cheval chevaux
reconnaître,685,33915,reconnais reconnu reconnaître reconnaissez reconnaît reconnue
froid,686,33901,froid froide froides froids
clair,687,33876,clair claires clairs
second,688,33826,secondes second seconds
fermer,689,33690,fermer fermez fermée fermés fermées fermons
tueur,690,33628,tueur tueurs tueuse tueuses
habitude,691,33611,habitude habitudes
règle,692,33542,règles règle
hôtel,693,33499,hôtel hôtels
ailleurs,694,33452,ailleurs
droguer,695,33391,drogue drogues droguée drogués droguer droguait
oublie,696,33375,oublie
surprise,697,33368,surprise surprises
celui-là,698,33319,celui-là celle-là ceux-là celles-là
magnifique,699,33248,magnifique magnifiques
présent,700,33225,présent présents présentes
oncle,701,33109,oncle oncles
table,702,33074,table tables
neuf,703,33051,neuf neuve neufs neuves
découvrir,704,33016,découvrir découvre découvrent découvrira découvrez découverts
anniversaire,705,32991,anniversaire anniversaires
con,706,32920,con cons conne connes
veux-tu,707,32911,veux-tu
réaliser,708,32870,réalisé réaliser réalise réalises réalisez réalisent
simplement,709,32775,simplement
sympa,710,32719,sympa sympas
amuser,711,32599,amuser amuse amuses amusée amusés amusez
ravir,712,32561,ravi ravie ravis ravir ravies ravit
compter,713,32537,compter comptez comptent comptais compté comptait
jurer,714,32510,jure jurés jurer jures jurez jurerais
sœur,715,32449,sœur
connu,716,32401,connu connue connus connues
inspecteur,717,32295,inspecteur inspecteurs inspectrice
éviter,718,32293,éviter évite évité évitez évites évitera
prouver,719,32232,prouver prouve prouvé prouvent prouverai prouvera
liste,720,32199,liste
dangereux,721,32161,dangereux dangereuse dangereuses
baiser,722,32158,baiser baisé baisers baises baisée baisent
arranger,723,32156,arranger arrangé arrange arrangera arrangerai arrangerait
complètement,724,32034,complètement
dos,725,31944,dos
armée,726,31939,armée
espèce,727,31936,espèce espèces
public,728,31929,public publique publiques publics
paix,729,31914,paix
ressentir,730,31893,ressens ressenti ressentir ressent ressentez ressentais
york,731,31805,york
fier,732,31710,fier fière fiers fie fiez fières
i,733,31645,i
impression,734,31640,impression impressions
chanson,735,31583,chanson chansons
libre,736,31568,libre
bouge,737,31554,bouge
rejoindre,738,31541,rejoindre rejoint rejoins rejoignez rejoindrai rejoindra
mener,739,31484,mène mener mené mènera mènent menés
arrêté,740,31461,arrêté
présenter,741,31443,présenter présenté présentée présentés présentent présentez
mission,742,31403,mission missions
décider,743,31332,décider décide décides décidez décidera décident
journal,744,31281,journal journaux
témoin,745,31279,témoin témoins
okay,746,31277,okay
inquiéter,747,31201,inquiétez inquiéter inquiétais inquiétait inquiètent inquiété
censé,748,31135,censé censée censés censées
absolument,749,31103,absolument
normal,750,31038,normal normaux normales
dame,751,31016,dame dames
bordel,752,30995,bordel bordels
obliger,753,30973,obligé obligée oblige obligés obliger obligez
personnel,754,30940,personnel personnelle personnels personnelles
prévenir,755,30936,prévenir prévenu préviens prévenez prévenus prévient
décidé,756,30860,décidé
ennemi,757,30833,ennemi ennemis ennemie ennemies
avion,758,30751,avion
signe,759,30724,signe signes
reprendre,760,30539,reprendre reprend reprends reprenez reprenons reprendra
autour,761,30483,autour autours
prévoir,762,30373,prévu prévoir prévue prévoit prévois prévoyez
faim,763,30350,faim
exact,764,30346,exact exacte exacts exactes
fond,765,30337,fond
promettre,766,30296,promets promettre promet promettez promettant promettes
camp,767,30248,camp camps
excuser,768,30138,excuser excusez excusé excusée excuserez excuserai
sortie,769,30115,sortie sorties
décision,770,30109,décision décisions
arrière,771,30079,arrière arrières
colère,772,30054,colère colères
papier,773,30050,papier papiers
boîte,774,30002,boîte boîtes
ligne,775,29986,ligne
enlever,776,29980,enlever enlevez enlevée enlèves enlevés enlèvent
proche,777,29915,proche proches
chaud,778,29886,chaud chauds chaudes
forme,779,29766,forme formes
coin,780,29758,coin coins
dégager,781,29705,dégage dégagez dégager dégages dégagée dégagent
or,782,29615,or
hors,783,29603,hors
soin,784,29585,soin soins
jambe,785,29546,jambes jambe
durer,786,29519,durant durer duré durera durent durerait
club,787,29350,club clubs
soldat,788,29296,soldats soldat
