frame,n,freq_books,rank,variants,type_token_ratio,top_fillers,auto_keep,keep,notes
de ce *,3,6161815,38,10,0.000002,que | qui | fait | genre | dernier | type | monde | livre,no,,
un peu *,3,6137175,39,8,0.000001,plus | de | d' | trop | comme | à | moins | partout,yes,,
l' * d',3,6111591,40,13,0.000002,objet | un | idée | impression | existence | air | aide | occasion,no,,
de sa *,3,6033008,41,14,0.000002,vie | mère | propre | femme | famille | fille | main | voix,no,,
y a *,3,5979734,42,10,0.000002,des | un | une | de | eu | quelques | deux | aussi,no,,
sur la *,3,5677274,43,13,0.000002,table | route | base | terre | tête | place | plage | question,no,,
de * vie,3,5675915,44,4,0.000001,la | sa | ma | leur,no,,
je me *,3,5606421,45,7,0.000001,suis | sens | souviens | demande | sentais | dis | rappelle,no,,
la * du,3,5388524,46,11,0.000002,fin | loi | porte | plupart | question | place | tête | lumière,no,,
à partir *,3,5348136,47,4,0.000001,de | du | des | d',no,,
l' un *,3,5315013,48,5,0.000001,des | de | d' | et | à,no,,
tous les *,3,5302300,49,9,0.000002,jours | deux | autres | cas | hommes | trois | sens | soirs,yes,,
de * en,3,5283137,50,5,0.000001,plus | temps | mettre | mise | moins,no,,
à ce *,3,5197304,51,8,0.000002,que | moment | sujet | qui | point | titre | propos | jour,no,,
de son *,3,5162921,52,12,0.000002,père | côté | corps | fils | mari | frère | visage | propre,no,,
de ne *,3,5072195,53,4,0.000001,pas | plus | rien | jamais,no,,
et à *,3,5040785,54,6,0.000001,la | l' | mesure | son | ses | sa,no,,
dans les *,3,5004111,55,9,0.000002,années | yeux | deux | pays | bras | rues | autres | conditions,no,,
au * de la,4,4949588,56,18,0.000004,sein | milieu | cours | bord | niveau | moment | cœur | fond,no,,
à l' * de,4,4850592,57,19,0.000004,intérieur | égard | origine | aide | idée | occasion | âge | exception,no,,
dans l' *,3,4779977,58,12,0.000003,espace | eau | histoire | autre | ordre | air | esprit | ombre,no,,
il ne *,3,4681159,59,10,0.000002,faut | se | peut | pouvait | lui | me | l' | voulait,no,,
que tu *,3,4668133,60,10,0.000002,as | ne | es | veux | me | te | fais | sois,no,,
la fin *,3,4650928,61,3,0.000001,de | du | des,no,,
tout le *,3,4644941,62,3,0.000001,monde | temps | reste,yes,,
je * que,3,4641129,63,8,0.000002,crois | sais | pense | savais | suppose | veux | croyais | pensais,no,,
il * avait,3,4555386,64,4,0.000001,y | l' | lui | en,no,,
ne sont *,3,4482398,65,3,0.000001,pas | plus | que,no,,
le * de la,4,4459465,66,23,0.000005,long | cadre | reste | domaine | sens | président | début | cas,no,,
tout à *,3,4438462,67,4,0.000001,fait | coup | l' | la,no,,
au * du,3,4416670,68,11,0.000002,début | sein | milieu | bout | cours | niveau | bord | fond,no,,
et il *,3,4284700,69,11,0.000003,est | ne | se | y | a | avait | était | faut,no,,
je * ai,3,4270575,70,4,0.000001,l' | lui | vous | les,no,,
la * d',3,4259745,71,12,0.000003,forme | création | recherche | présence | porte | possibilité | tête | suite,no,,
et que *,3,4215953,72,8,0.000002,je | les | le | la | l' | vous | nous | tu,no,,
que nous *,3,4212662,73,7,0.000002,avons | sommes | ne | nous | avions | étions | allons,no,,
mais il *,3,4197607,74,8,0.000002,ne | est | y | faut | était | a | avait | se,no,,
à la * de,4,3911293,75,15,0.000004,fin | suite | recherche | tête | porte | place | hauteur | fois,no,,
que ce *,3,3873351,76,7,0.000002,soit | qui | que | ne | dernier | sont | serait,no,,
dans un *,3,3763461,77,11,0.000003,coin | premier | contexte | autre | monde | état | cadre | pays,no,,
du * de,3,3760566,78,9,0.000002,point | fait | côté | Code | droit | temps | nom | nombre,no,,
mais * ne,3,3715398,79,6,0.000002,je | il | elle | cela | on | ils,no,,
que vous *,3,3663712,80,6,0.000002,avez | ne | êtes | vous | me | voulez,no,,
de * que,3,3636987,81,6,0.000002,ce | même | sorte | dire | constater | penser,no,,
le temps *,3,3619188,82,4,0.000001,de | d' | que | et,no,,
la * de la,4,3604844,83,16,0.000004,fin | question | porte | place | suite | théorie | moitié | protection,no,,
la * et,3,3589576,84,9,0.000003,tête | vie | main | porte | France | nature | ville | maison,no,,
ne peut *,3,3574797,85,4,0.000001,pas | être | plus | se,no,,
et je *,3,3530862,86,6,0.000002,ne | me | suis | vous | l' | lui,no,,
le * d',3,3507613,87,10,0.000003,temps | cadre | droit | fait | cas | nombre | sentiment | nom,no,,
et d' *,3,3491824,88,4,0.000001,une | un | autres | autre,no,,
parce que *,3,3399691,89,8,0.000002,je | le | les | la | tu | l' | nous | vous,no,,
au cours *,3,3391035,90,4,0.000001,de | des | du | d',no,,
je suis *,3,3337506,91,11,0.000003,un | en | désolé | désolée | sûr | le | là | à,yes,,
la tête *,3,3288117,92,7,0.000002,de | et | en | d' | du | pour | vers,no,,
au * des,3,3249150,93,6,0.000002,cours | milieu | fil | sein | niveau | début,no,,
de * qui,3,3230764,94,3,0.000001,ce | ceux | celui,no,,
ainsi que *,3,3219640,95,6,0.000002,les | le | la | des | l' | de,no,,
la * en,3,3145868,96,3,0.000001,mise | prise | tête,no,,
se * à,3,3144210,97,6,0.000002,mit | met | rendre | mettre | mirent | trouve,no,,
quelque chose *,3,3134330,98,4,0.000001,de | d' | qui | à,no,,
et * les,3,3127229,99,8,0.000003,que | dans | tous | sur | de | toutes | dont | pour,no,,
dans * cas,3,3039950,100,3,0.000001,le | ce | certains,no,,
la plupart *,3,3013245,101,3,0.000001,des | du | de,no,,
au milieu *,3,3001931,102,4,0.000001,de | des | du | d',no,,
l' on *,3,2974038,103,6,0.000002,peut | ne | a | se | veut | est,no,,
l' * de la,4,2960048,104,16,0.000005,histoire | intérieur | ensemble | entrée | origine | évolution | importance | image,no,,
au sein *,3,2954340,105,4,0.000001,de | du | des | d',no,,
à travers *,3,2946455,106,5,0.000002,les | la | le | l' | des,no,,
alors que *,3,2931645,107,6,0.000002,les | le | la | je | l' | nous,no,,
à * que,3,2904498,108,4,0.000001,ce | mesure | moins | croire,no,,
que les *,3,2872426,109,7,0.000002,autres | deux | hommes | gens | choses | femmes | enfants,no,,
à * autre,3,2869645,110,3,0.000001,l' | un | une,no,,
à * les,3,2859615,111,3,0.000001,tous | travers | toutes,no,,
de la * de,4,2839189,112,14,0.000005,part | ville | salle | vie | mort | Cour | maison | notion,no,,
le plus *,3,2791777,113,4,0.000001,souvent | grand | important | de,no,,
en ce *,3,2704453,114,3,0.000001,qui | moment | sens,no,,
et * ne,3,2701039,115,5,0.000002,je | il | qui | elle | de,no,,
on ne *,3,2677427,116,4,0.000001,peut | sait | pouvait | se,no,,
de * de,3,2674270,117,8,0.000003,plus | vue | celle | moins | faire | celui | parler | sortir,no,,
il faut *,3,2604884,118,5,0.000002,que | bien | donc | dire | se,yes,,
de * à,3,2595236,119,7,0.000003,temps | manière | façon | mal | nature | répondre | penser,no,,
des * de,3,2588642,120,7,0.000003,droits | milliers | centaines | conditions | membres | coups | dizaines,no,,
par la *,3,2539720,121,5,0.000002,suite | loi | fenêtre | main | force,no,,
l' une *,3,2537135,122,3,0.000001,des | de | d',no,,
le cas *,3,2510015,123,6,0.000002,de | des | échéant | d' | du | où,no,,
autour de *,3,2503478,124,5,0.000002,la | lui | moi | l' | son,no,,
de l ' *,4,2499489,125,13,0.000005,homme | autre | État | eau | entreprise | histoire | article | enfant,no,,
l' idée *,3,2491790,126,3,0.000001,de | d' | que,no,,
la main *,3,2491736,127,6,0.000002,de | sur | et | à | pour | dans,no,,
l' ensemble *,3,2462815,128,3,0.000001,des | de | du,no,,
dans ce *,3,2460320,129,5,0.000002,cas | contexte | domaine | sens | pays,no,,
par rapport *,3,2442324,130,3,0.000001,à | aux | au,no,,
dans le * de,4,2422880,131,7,0.000003,cadre | domaine | cas | but | sens | contexte | champ,no,,
la porte *,3,2406528,132,4,0.000002,de | du | d' | et,no,,
à cause *,3,2384346,133,4,0.000002,de | du | des | d',no,,
qui est *,3,2376176,134,7,0.000003,le | en | la | à | de | un | une,no,,
le fait *,3,2362670,135,3,0.000001,que | de | d',no,,
un de *,3,2337191,136,4,0.000002,ses | ces | mes | l',no,,
la vie *,3,2323630,137,5,0.000002,de | et | des | quotidienne | est,no,,
mise en *,3,2318978,138,3,0.000001,œuvre | place | scène,yes,,
au * d',3,2318704,139,6,0.000003,bout | milieu | sein | lieu | cours | fond,no,,
les yeux *,3,2316769,140,5,0.000002,et | de | vers | sur | au,no,,
à côté *,3,2298581,141,3,0.000001,de | d' | du,no,,
ne pas *,3,2251797,142,5,0.000002,être | avoir | se | le | faire,no,,
ne * être,3,2250927,143,4,0.000002,peut | pas | peuvent | pouvait,yes,,
l' * du,3,2247877,144,7,0.000003,ensemble | intérieur | histoire | entrée | ordre | heure | image,no,,
et * le,3,2236740,145,6,0.000003,que | dans | tout | sur | de | dont,no,,
au bout *,3,2202183,146,3,0.000001,de | d' | du,no,,
le droit *,3,2200412,147,3,0.000001,de | d' | à,no,,
le nom *,3,2171661,148,3,0.000001,de | du | d',no,,
le * du,3,2145848,149,7,0.000003,long | reste | cadre | nom | cas | début | rôle,no,,
un * d',3,2133341,150,4,0.000002,coup | peu | clin | quart,no,,
le cadre *,3,2111761,151,4,0.000002,de | d' | du | des,no,,
mais je *,3,2101902,152,3,0.000001,ne | suis | me,no,,
qui se *,3,2094647,153,5,0.000002,passe | sont | trouve | passait | trouvait,no,,
de toutes *,3,2087911,154,3,0.000001,les | ses | sortes,no,,
de * faire,3,2053925,155,4,0.000002,le | se | lui | me,no,,
a * de,3,2045172,156,4,0.000002,pas | besoin | plus | permis,no,,
que * me,3,2019315,157,3,0.000001,je | tu | vous,no,,
je vous *,3,2007816,158,5,0.000002,ai | en | le | prie | l',no,,
que * le,3,1999871,159,5,0.000003,tout | je | dans | soit | par,no,,
l' homme *,3,1998556,160,5,0.000003,qui | et | de | est | à,no,,
même si *,3,1992703,161,6,0.000003,elle | je | les | la | le | l',no,,
la * de l',4,1977669,162,11,0.000006,fin | question | porte | place | qualité | vie | nature | théorie,no,,
le * des,3,1972252,163,7,0.000004,cas | long | développement | nombre | monde | cadre | rôle,no,,
une fois *,3,1968456,164,6,0.000003,de | que | encore | par | la | le,no,,
de faire *,3,1967086,165,6,0.000003,un | des | le | une | la | de,no,,
et dans *,3,1965437,166,4,0.000002,les | le | la | l',no,,
lors de *,3,1960803,167,3,0.000002,la | l' | son,no,,
dans le cadre *,4,1955768,168,4,0.000002,de | d' | du | des,no,,
il * que,3,1936509,169,3,0.000002,faut | semble | fallait,no,,
l' histoire *,3,1927138,170,3,0.000002,de | du | des,no,,
l' impression *,3,1918162,171,3,0.000002,que | d' | de,no,,
si vous *,3,1908936,172,5,0.000003,voulez | avez | êtes | ne | le,no,,
à la fin *,4,1901761,173,3,0.000002,de | du | des,no,,
ce * de,3,1887583,174,3,0.000002,genre | type | point,no,,
que l' on *,4,1878326,175,8,0.000004,peut | a | ne | appelle | puisse | se | pourrait | trouve,no,,
la question *,3,1872474,176,3,0.000002,de | du | des,no,,
en * d',3,1864537,177,5,0.000003,cas | matière | train | vue | place,no,,
à * moment,3,1859446,178,3,0.000002,ce | un | tout,no,,
où il *,3,1852119,179,6,0.000003,est | se | avait | était | y | a,no,,
que * les,3,1839494,180,4,0.000002,tous | dans | toutes | pour,no,,
partie de *,3,1838875,181,3,0.000002,la | l' | son,no,,
d' entre *,3,1822316,182,3,0.000002,eux | elles | nous,no,,
tandis que *,3,1802966,183,4,0.000002,les | le | la | l',no,,
y * un,3,1796290,184,3,0.000002,a | avait | eut,no,,
de toute *,3,1795495,185,3,0.000002,façon | la | évidence,no,,
il a *,3,1795114,186,4,0.000002,été | fait | fallu | dit,no,,
pas * la,3,1783608,187,3,0.000002,à | de | dans,no,,
l' autre *,3,1780851,188,4,0.000002,côté | bout | et | de,no,,
de * mère,3,1778738,189,3,0.000002,sa | ma | la,no,,
en fonction *,3,1773502,190,3,0.000002,de | des | du,no,,
dans * bras,3,1766936,191,3,0.000002,ses | les | mes,no,,
au * de l',4,1766498,192,9,0.000005,sein | cours | niveau | moment | bord | début | cœur | long,no,,
dans * chambre,3,1766164,193,3,0.000002,la | sa | ma,no,,
près de *,3,1759986,194,4,0.000002,la | lui | l' | moi,no,,
ceux qui *,3,1758730,195,4,0.000002,ont | sont | ne | se,no,,
de * façon,3,1751466,196,3,0.000002,toute | cette | la,no,,
le long *,3,1740927,197,3,0.000002,de | du | des,no,,
bien que *,3,1735762,198,6,0.000003,je | les | le | la | l' | mal,no,,
pour que *,3,1731630,199,5,0.000003,je | les | le | la | l',no,,
que * la,3,1727334,200,5,0.000003,de | dans | par | soit | je,no,,
que dans *,3,1726891,201,4,0.000002,les | le | la | l',no,,
qui ne *,3,1717903,202,4,0.000002,sont | se | peut | l',no,,
la même *,3,1712986,203,4,0.000002,chose | manière | façon | année,yes,,
ne l' *,3,1698350,204,4,0.000002,avait | ai | a | est,no,,
de ses *,3,1695070,205,6,0.000004,yeux | parents | propres | amis | mains | lèvres,no,,
dans * vie,3,1680523,206,3,0.000002,la | sa | ma,no,,
fin de *,3,1679688,207,3,0.000002,la | l' | compte,no,,
côté de *,3,1668807,208,3,0.000002,la | l' | lui,no,,
qui * été,3,1664908,209,3,0.000002,a | ont | avait,no,,
au début *,3,1661291,210,3,0.000002,du | de | des,no,,
face à *,3,1657355,211,4,0.000002,la | l' | un | une,no,,
elle ne *,3,1637053,212,5,0.000003,pouvait | se | peut | voulait | l',no,,
et * autres,3,1618500,213,3,0.000002,d' | les | des,no,,
est * de,3,1616147,214,6,0.000004,possible | difficile | celui | important | celle | impossible,no,,
pas le *,3,1615235,215,4,0.000002,temps | cas | droit | choix,no,,
il ne * pas,4,1601167,216,6,0.000004,faut | pouvait | voulait | peut | fallait | savait,no,,
de temps *,3,1593974,217,3,0.000002,en | à | pour,no,,
l' * et,3,1591379,218,5,0.000003,homme | un | eau | autre | État,no,,
à * du,3,1588716,219,4,0.000003,partir | côté | cause | propos,no,,
une partie *,3,1587856,220,3,0.000002,de | du | des,no,,
je * le,3,1584900,221,4,0.000003,ne | vous | suis | te,no,,
le nombre *,3,1581445,222,3,0.000002,de | d' | des,no,,
dans * pays,3,1575967,223,4,0.000003,les | le | un | ce,no,,
comme si *,3,1553521,224,4,0.000003,elle | je | le | la,no,,
à * des,3,1552708,225,5,0.000003,partir | cause | propos | faire | travers,no,,
à propos *,3,1546846,226,3,0.000002,de | des | du,no,,
de tout *,3,1542451,227,4,0.000003,ce | le | cela | son,no,,
dans sa *,3,1538107,228,4,0.000003,chambre | vie | tête | poche,no,,
pas à *,3,1537750,229,3,0.000002,la | l' | se,no,,
ce que je *,4,1520884,230,9,0.000006,veux | peux | fais | suis | sais | vais | voulais | vous,no,,
si * ne,3,1517607,231,4,0.000003,je | vous | elle | tu,no,,
il se *,3,1517108,232,5,0.000003,mit | trouve | leva | sentait | tourna,no,,
et * se,3,1507629,233,4,0.000003,il | de | elle | qui,no,,
quant à *,3,1505153,234,4,0.000003,la | lui | l' | elle,no,,
au niveau *,3,1499582,235,3,0.000002,de | des | du,no,,
il en *,3,1492629,236,5,0.000003,est | va | avait | se | a,no,,
le monde *,3,1466473,237,5,0.000003,de | entier | est | des | et,no,,
au fond *,3,1461698,238,3,0.000002,de | du | d',no,,
de se *,3,1460180,239,4,0.000003,faire | rendre | mettre | retrouver,no,,
l' un * l' autre,5,1455545,240,10,0.000007,et | de | à | ou | ni | après | contre | pour,yes,,
se * vers,3,1454218,241,3,0.000002,tourna | dirigea | tournant,yes,,
en * de la,4,1452878,242,7,0.000005,fonction | raison | direction | dehors | faveur | face | vue,no,,
la fin de *,4,1452194,243,3,0.000002,la | l' | sa,no,,
à * qui,3,1446411,244,3,0.000002,ceux | ce | celui,no,,
le * de l',4,1445681,245,10,0.000007,cadre | reste | sens | domaine | cas | développement | rôle | chef,no,,
il y * un,4,1443877,246,3,0.000002,a | avait | eut,no,,
y avait *,3,1440032,247,4,0.000003,un | une | des | de,no,,
si elle *,3,1425145,248,4,0.000003,avait | ne | est | était,no,,
la mise en *,4,1399242,249,3,0.000002,place | œuvre | scène,yes,,
ne pouvait *,3,1376370,250,3,0.000002,pas | plus | être,no,,
la part *,3,1375569,251,3,0.000002,de | des | du,no,,
qui l' *,3,1366492,252,3,0.000002,avait | a | ont,no,,
ce * le,3,1363077,253,3,0.000002,que | qui | fut,no,,
avec un *,3,1349809,254,4,0.000003,sourire | peu | petit | grand,no,,
l' * d' un,4,1346960,255,7,0.000005,objet | existence | aide | air | espace | idée | ombre,no,,
à * de la,4,1342629,256,4,0.000003,partir | cause | côté | propos,no,,
de * et,3,1336226,257,5,0.000004,part | lui | vie | travail | Dieu,no,,
qui * de,3,1334872,258,4,0.000003,permet | venait | vient | est,no,,
qui * sont,3,1320583,259,3,0.000002,ne | se | lui,no,,
à l' * de la,5,1317285,260,19,0.000014,intérieur | égard | origine | occasion | entrée | arrière | aide | extérieur,no,,
par le *,3,1316547,261,4,0.000003,biais | fait | bras | gouvernement,no,,
grâce à *,3,1313853,262,4,0.000003,la | l' | une | un,no,,
la suite *,3,1305682,263,3,0.000002,de | d' | des,no,,
en dehors *,3,1303494,264,3,0.000002,de | des | du,no,,
nous ne *,3,1288577,265,3,0.000002,sommes | pouvons | nous,no,,
ne * plus,3,1277658,266,4,0.000003,peut | sont | pouvait | sais,no,,
pour le *,3,1275623,267,4,0.000003,moment | moins | reste | faire,no,,
je * vous,3,1266534,268,3,0.000002,ne | vais | peux,no,,
plus que *,3,1264961,269,5,0.000004,les | la | le | jamais | de,no,,
en l' *,3,1253687,270,3,0.000002,air | absence | occurrence,no,,
pas de *,3,1252801,271,3,0.000002,la | l' | problème,no,,
d' avoir *,3,1244427,272,4,0.000003,un | une | été | des,no,,
et les *,3,1244022,273,3,0.000002,autres | plus | deux,no,,
à tout *,3,1237405,274,4,0.000003,le | prix | moment | ce,no,,
pas * de,3,1224589,275,3,0.000002,besoin | envie | question,no,,
à l' intérieur *,4,1222567,276,4,0.000003,de | du | d' | des,no,,
il y avait *,4,1219278,277,5,0.000004,un | une | des | de | aussi,no,,
et qui *,3,1218206,278,4,0.000003,ne | est | se | a,no,,
qui lui *,3,1213735,279,4,0.000003,est | avait | a | sont,no,,
à cette *,3,1209620,280,3,0.000002,époque | heure | question,no,,
dans * contexte,3,1191611,281,3,0.000003,un | le | ce,no,,
l' un * l',4,1190961,282,6,0.000005,et | de | à | ou | ni | après,no,,
un * l' autre,4,1187960,283,6,0.000005,et | de | à | ou | ni | après,no,,
à * d',3,1184123,284,3,0.000003,partir | côté | cause,no,,
que * l',3,1179893,285,3,0.000003,je | de | dans,no,,
pour * faire,3,1172152,286,5,0.000004,se | lui | ce | en | le,no,,
il est * de,4,1170620,287,6,0.000005,possible | important | difficile | nécessaire | impossible | temps,no,,
l' * d' une,4,1163760,288,5,0.000004,objet | existence | idée | aide | effet,no,,
de la part *,4,1161226,289,4,0.000003,de | des | du | d',no,,
en * avec,3,1160413,290,4,0.000003,contact | rapport | relation | lien,no,,
à l ' *,4,1152948,291,7,0.000006,intérieur | autre | heure | époque | égard | aide | origine,no,,
il * se,3,1152024,292,3,0.000003,ne | faut | en,no,,
avant de *,3,1150747,293,3,0.000003,se | partir | la,no,,
de * un,3,1147928,294,3,0.000003,l' | faire | trouver,no,,
dans * autre,3,1143518,295,3,0.000003,un | l' | une,no,,
de lui *,3,1142326,296,4,0.000004,faire | et | donner | dire,yes,,
comme * l',3,1139329,297,4,0.000004,nous | je | il | on,no,,
à cet *,3,1126898,298,3,0.000003,égard | instant | effet,no,,
sur l' *,3,1124877,299,4,0.000004,autre | épaule | île | ensemble,no,,
fait que *,3,1107640,300,4,0.000004,les | le | la | l',no,,
sur le * de,4,1102317,301,5,0.000005,point | plan | chemin | visage | bord,no,,
dans * sens,3,1099754,302,3,0.000003,le | ce | un,no,,
de * côté,3,1097596,303,3,0.000003,son | chaque | ce,no,,
à l' égard *,4,1094553,304,3,0.000003,de | des | du,no,,
la nature *,3,1089012,305,3,0.000003,de | et | des,no,,
le * où,3,1076186,306,3,0.000003,jour | moment | cas,yes,,
au cours de *,4,1071764,307,4,0.000004,la | l' | laquelle | cette,no,,
l' * à,3,1063569,308,4,0.000004,accès | un | aider | homme,no,,
le rôle *,3,1063292,309,3,0.000003,de | du | des,no,,
dans le cas *,4,1060904,310,5,0.000005,de | d' | où | des | contraire,no,,
dire que *,3,1059437,311,4,0.000004,je | le | la | les,no,,
il avait *,3,1055842,312,3,0.000003,été | l' | fait,no,,
que d' *,3,1055409,313,3,0.000003,autres | une | un,no,,
ou à *,3,1053874,314,3,0.000003,la | l' | un,no,,
dans une *,3,1046497,315,4,0.000004,autre | situation | petite | société,no,,
et elle *,3,1041369,316,4,0.000004,se | ne | a | avait,no,,
qui * a,3,1036331,317,3,0.000003,l' | lui | nous,no,,
à la * de la,5,1032480,318,15,0.000015,fin | suite | porte | tête | veille | recherche | hauteur | fois,no,,
en * des,3,1032249,319,3,0.000003,fonction | dehors | place,no,,
tout ce que *,4,1022965,320,4,0.000004,je | vous | tu | nous,no,,
dans son *,3,1018500,321,4,0.000004,esprit | lit | bureau | ensemble,no,,
mais elle *,3,1013579,322,3,0.000003,ne | est | avait,no,,
le * à,3,1011767,323,4,0.000004,recours | seul | droit | premier,no,,
comme * le,3,1010682,324,4,0.000004,on | dans | si | il,no,,
et * plus,3,1007226,325,3,0.000003,le | les | la,no,,
à ses *,3,1004441,326,3,0.000003,côtés | yeux | pieds,no,,
et sur *,3,993082,327,3,0.000003,les | la | le,no,,
les deux *,3,992810,328,3,0.000003,hommes | autres | cas,yes,,
il * de,3,992760,329,3,0.000003,convient | suffit | est,no,,
je vais *,3,991760,330,3,0.000003,vous | te | me,no,,
l' a *,3,979487,331,4,0.000004,fait | vu | dit | pas,no,,
dans la * de,4,973762,332,5,0.000005,salle | chambre | région | vie | maison,no,,
l' * de l',4,973672,333,5,0.000005,histoire | un | intérieur | ensemble | égard,no,,
autour d' *,3,951874,334,3,0.000003,elle | un | une,no,,
la * d' un,4,949469,335,5,0.000005,forme | création | recherche | tête | présence,no,,
la question de *,4,949436,336,3,0.000003,la | l' | savoir,no,,
besoin d' *,3,947153,337,3,0.000003,un | être | une,no,,
et * a,3,946773,338,3,0.000003,il | qui | elle,no,,
partir de *,3,945246,339,3,0.000003,la | l' | ce,no,,
je ne sais pas *,5,942475,340,8,0.000008,si | ce | comment | pourquoi | quoi | trop | où | encore,yes,,
ce que tu *,4,936051,341,3,0.000003,as | veux | fais,no,,
de ne pas *,4,932106,342,4,0.000004,avoir | être | se | le,no,,
dans * tête,3,926994,343,3,0.000003,sa | la | ma,no,,
dont il *,3,924321,344,3,0.000003,est | avait | a,no,,
dans le * de la,5,919256,345,7,0.000008,cadre | domaine | cas | sens | contexte | champ | monde,no,,
sur son *,3,916958,346,3,0.000003,visage | épaule | lit,no,,
pas d' *,3,911424,347,3,0.000003,un | autre | une,no,,
que * qui,3,872713,348,3,0.000003,ce | ceux | celui,no,,
ce qui concerne *,4,872450,349,4,0.000005,les | la | le | l',no,,
à côté de *,4,872157,350,4,0.000005,la | lui | moi | l',no,,
que la *,3,868970,351,3,0.000003,vie | plupart | France,no,,
on peut *,3,863638,352,3,0.000003,dire | se | aussi,no,,
l' un de *,4,863070,353,3,0.000003,ses | l' | ces,no,,
du * e siècle,4,858937,354,4,0.000005,XIX | XX | XVIII | XVII,yes,,
dans * conditions,3,854938,355,3,0.000004,ces | des | les,no,,
il est * que,4,854329,356,4,0.000005,vrai | évident | clair | possible,no,,
plus de *,3,853640,357,3,0.000004,la | deux | temps,no,,
ne l' * pas,4,846596,358,4,0.000005,avait | ai | a | est,no,,
que le *,3,841203,359,3,0.000004,temps | monde | roi,no,,
pas la *,3,835040,360,3,0.000004,peine | moindre | même,no,,
à partir de *,4,828831,361,3,0.000004,la | l' | ce,no,,
en * du,3,826131,362,3,0.000004,fonction | direction | dehors,no,,
la * pour,3,824344,363,3,0.000004,raison | tête | main,no,,
un * l',3,820657,364,3,0.000004,et | de | à,no,,
que je ne *,4,816353,365,5,0.000006,suis | l' | peux | me | le,no,,
peu plus *,3,812707,366,3,0.000004,loin | de | tard,no,,
dans ma *,3,803965,367,3,0.000004,chambre | tête | vie,no,,
